update,train_loss,val_loss,gradient_norm
266,0.0038262195885181427,,0.008558177389204502
267,0.002869526855647564,,0.008167115971446037
268,0.002842443762347102,,0.018195556476712227
269,0.003560282988473773,,0.009075463749468327
270,0.004303506575524807,,0.014385752379894257
271,0.0031897935550659895,,0.014708565548062325
272,0.00312057021073997,,0.009043069556355476
273,0.003498649690300226,,0.010181348770856857
274,0.003320220857858658,,0.018316322937607765
275,0.003204384818673134,,0.017121484503149986
276,0.0029104514978826046,,0.013542926870286465
277,0.0026640004944056273,,0.011349267326295376
278,0.0035974159836769104,,0.013425339013338089
279,0.00332082761451602,,0.010835567489266396
280,0.004388513043522835,,0.012708806432783604
281,0.0027396436780691147,,0.01292578224092722
282,0.004533067345619202,,0.00935131311416626
283,0.002975301817059517,,0.017366038635373116
284,0.002900799736380577,,0.020152391865849495
285,0.0027319793589413166,,0.008244060911238194
286,0.0034247420262545347,,0.020650072023272514
287,0.0031267558224499226,,0.011483892798423767
288,0.003603847697377205,,0.009622187353670597
289,0.002598891267552972,,0.015162949450314045
290,0.0027179690077900887,,0.013236897997558117
291,0.0036745916586369276,,0.012212475761771202
292,0.004112106282263994,,0.018138231709599495
293,0.003416707506403327,,0.014630216173827648
294,0.002936862874776125,,0.01023674663156271
295,0.0031865015625953674,,0.014118604362010956
296,0.002915413584560156,,0.008073453791439533
297,0.003001127392053604,,0.010624732822179794
298,0.0031821350567042828,,0.007536421529948711
299,0.002724855672568083,,0.00547102140262723
300,0.0027861986309289932,,0.006800095085054636
301,0.004134157206863165,,0.010301198810338974
302,0.0030808723531663418,,0.013274992816150188
303,0.002909622620791197,,0.006402310449630022
304,0.0030784360133111477,,0.009636200964450836
305,0.003123754169791937,,0.00859131384640932
306,0.0026240190491080284,,0.006456335540860891
307,0.0027335709892213345,,0.008135256357491016
308,0.00299782189540565,,0.007906152866780758
309,0.0028431620448827744,,0.006633584853261709
310,0.004150676541030407,,0.00784755777567625
311,0.0031220708042383194,,0.00899490900337696
312,0.0030731093138456345,,0.009325336664915085
313,0.003903174540027976,,0.00786418467760086
314,0.0034633628092706203,,0.006920223589986563
315,0.0026337970048189163,,0.008718829602003098
316,0.0027480628341436386,,0.008093602024018764
317,0.0026980736292898655,,0.014504374004900455
318,0.002724970690906048,,0.008198452182114124
319,0.002756269183009863,,0.0085070189088583
320,0.00333177438005805,,0.012096596881747246
321,0.003118509193882346,,0.01071189995855093
322,0.0027843208517879248,,0.01305466704070568
323,0.0028487592935562134,,0.013166003860533237
324,0.003354506567120552,,0.007405010052025318
325,0.003497777972370386,,0.012453896924853325
326,0.0027974997647106647,,0.01187872514128685
327,0.002568727359175682,,0.011734336614608765
328,0.003126567928120494,,0.014266773127019405
329,0.003859804943203926,,0.01305678766220808
330,0.0032505036797374487,,0.0110655901953578
331,0.0032458151690661907,,0.011170225217938423
332,0.0025531912688165903,,0.010590850375592709
333,0.0028049182146787643,,0.010419837199151516
334,0.002850982826203108,,0.010998152196407318
335,0.0030292037408798933,,0.014247335493564606
336,0.0023466795682907104,,0.012334725819528103
337,0.0026982761919498444,,0.012025943957269192
338,0.0033983266912400723,,0.010732037015259266
339,0.0029224371537566185,,0.011907973326742649
340,0.00257806945592165,,0.00942523404955864
341,0.0029960796236991882,,0.016403215005993843
342,0.00253865122795105,,0.008764510042965412
343,0.0029147653840482235,,0.011787944473326206
344,0.002527068369090557,,0.010336142033338547
345,0.0023951863404363394,,0.008555185981094837
346,0.0025590742006897926,,0.007973994128406048
347,0.0026815354358404875,,0.011757975444197655
348,0.002538034226745367,,0.01076515857130289
349,0.0023080601822584867,,0.006966325454413891
350,0.0033567682839930058,,0.011586311273276806
351,0.00330933416262269,,0.00820883922278881
352,0.002921205712482333,,0.01627671718597412
353,0.003743613138794899,,0.008624843321740627
354,0.002867830451577902,,0.013832937926054
355,0.003411098150536418,,0.011311681009829044
356,0.0026974778156727552,,0.011808167211711407
357,0.0028514170553535223,,0.0106496661901474
358,0.0033004533033818007,,0.015040583908557892
359,0.002893600147217512,,0.013071912340819836
360,0.002490890910848975,,0.012691657058894634
361,0.0032838303595781326,,0.011364854872226715
362,0.003106127493083477,,0.00846143625676632
363,0.003006831742823124,,0.006839083507657051
364,0.0024853311479091644,,0.013406485319137573
365,0.002643783576786518,,0.009230395779013634
366,0.0026644966565072536,,0.00745480926707387
367,0.003013766836374998,,0.009615984745323658
368,0.002972810296341777,,0.010879330337047577
369,0.0036668190732598305,,0.007682785391807556
370,0.0028568326961249113,,0.011802303604781628
371,0.0026511680334806442,,0.010969266295433044
372,0.002521027345210314,,0.008572799153625965
373,0.0023852838203310966,,0.014682543464004993
374,0.002957922173663974,,0.008634968660771847
375,0.002595331519842148,,0.010737127624452114
376,0.0028334881644695997,,0.014007666148245335
377,0.002874976024031639,,0.007279326673597097
378,0.0028073335997760296,,0.009569767862558365
379,0.0040384987369179726,,0.009653432294726372
380,0.0043481867760419846,,0.009716030210256577
381,0.002501722890883684,,0.015717852860689163
382,0.003573076333850622,,0.008861853741109371
383,0.003170205280184746,,0.010451859794557095
384,0.002823196118697524,,0.00680443225428462
385,0.0030075563117861748,,0.009078379720449448
386,0.0025528031401336193,,0.013047746382653713
387,0.0037030153907835484,,0.012082338333129883
388,0.003342626616358757,,0.007348954677581787
389,0.003088276367634535,,0.012987632304430008
390,0.002397141419351101,,0.008042159490287304
391,0.002539461012929678,,0.006605732720345259
392,0.0031494656577706337,,0.011527720838785172
393,0.0024619721807539463,,0.007520365994423628
